Date,Time(s),Power(dB),Temp(K),atennuation(dB)
18:53:38,111.83921360969543,-45.8271,0.089287,3.0
18:53:39,112.8785457611084,-45.8263,0.089287,3.0
18:53:40,113.92540287971497,-45.8264,0.089287,3.0
18:53:41,114.96462750434875,-45.8262,0.089287,3.0
18:53:42,116.01036739349365,-45.8268,0.089287,3.0
18:53:43,117.03524947166443,-45.8263,0.089287,3.0
18:53:44,118.0791654586792,-45.8265,0.089287,3.0
18:53:45,119.12441539764404,-45.8269,0.089287,3.0
18:53:47,120.16738724708557,-45.8261,0.089287,3.0
18:53:48,121.19501209259033,-45.8137,0.089287,3.0
18:53:49,122.23137974739075,-45.8159,0.089287,3.0
18:53:50,123.28822302818298,-45.8286,0.089287,3.0
18:53:51,124.34326434135437,-45.825,0.089287,3.0
18:53:52,125.38540482521057,-45.8248,0.089287,3.0
18:53:53,126.44461417198181,-45.8252,0.089287,3.0
18:53:54,127.48403072357178,-45.8257,0.089287,3.0
18:53:55,128.52208471298218,-45.8256,0.089287,3.0
18:53:56,129.5689194202423,-45.8257,0.089287,3.0
18:53:57,130.60316061973572,-45.8265,0.089287,3.0
18:53:58,131.62324285507202,-45.8259,0.089287,3.0
18:53:59,132.6755564212799,-45.8254,0.089287,3.0
18:54:00,133.7224416732788,-45.826,0.089287,3.0
18:54:01,134.7584536075592,-45.8253,0.089287,3.0
18:54:02,135.80340576171875,-45.8263,0.089287,3.0
18:54:03,136.84047269821167,-45.826,0.089287,3.0
18:54:04,137.88379764556885,-45.8263,0.089287,3.0
18:54:05,138.9109287261963,-45.8259,0.089287,3.0
18:54:06,139.94254159927368,-45.8255,0.089287,3.0
18:54:07,140.97681307792664,-45.8262,0.089287,3.0
18:54:08,142.01985430717468,-45.8265,0.089287,3.0
18:54:09,143.0485520362854,-45.8264,0.089287,3.0
18:54:10,144.0918641090393,-45.8249,0.089287,3.0
18:54:12,145.1305627822876,-45.8248,0.089287,3.0
18:54:13,146.17655086517334,-45.8243,0.089287,3.0
18:54:14,147.2206790447235,-45.8249,0.089287,3.0
18:54:15,148.2621991634369,-45.8245,0.089287,3.0
18:54:16,149.32327127456665,-45.8246,0.089287,3.0
18:54:17,150.37069988250732,-45.8249,0.089287,3.0
18:54:18,151.41636514663696,-45.8243,0.089287,3.0
18:54:19,152.4598684310913,-45.8247,0.090177,3.0
18:54:20,153.50066947937012,-45.8248,0.090177,3.0
18:54:21,154.53765511512756,-45.8244,0.090177,3.0
18:54:22,155.6189408302307,-45.8249,0.090177,3.0
18:54:23,156.65731406211853,-45.8247,0.090177,3.0
18:54:24,157.70017957687378,-45.8241,0.090177,3.0
18:54:25,158.73710775375366,-45.8241,0.090177,3.0
18:54:26,159.77135729789734,-45.8243,0.090177,3.0
